🌏上海电信,#group#
四川卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.83:5140
天津卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.124:5140
云南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.4:5140
云南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.206:5140
新疆卫视,http://192.168.50.211:4022/udp/233.18.204.220:5140
西藏卫视,http://192.168.50.211:4022/udp/233.18.204.222:5140
兵团卫视,http://192.168.50.211:4022/udp/233.18.204.221:5140
陕西卫视,http://192.168.50.211:4022/udp/233.18.204.223:5140

上海,#genre#

第一财经,http://cjdx.zyfqh.top:9988/udp/239.45.3.211:5140
东方财经,http://cjdx.zyfqh.top:9988/udp/239.45.0.17:5140
东方购物,http://cjdx.zyfqh.top:9988/udp/239.45.3.75:5140
东方购物,http://cjdx.zyfqh.top:9988/udp/239.45.3.207:5140
东方购物,http://cjdx.zyfqh.top:9988/udp/239.45.3.74:5140
东方影视,http://cjdx.zyfqh.top:9988/udp/239.45.3.237:5140
都市剧场,http://cjdx.zyfqh.top:9988/udp/239.45.3.136:5140
法治天地,http://cjdx.zyfqh.top:9988/udp/239.45.1.46:5140
上海都市,http://cjdx.zyfqh.top:9988/udp/239.45.3.236:5140
上海教育,http://cjdx.zyfqh.top:9988/udp/239.45.0.13:5140
五星体育,http://cjdx.zyfqh.top:9988/udp/239.45.3.210:5140
新闻综合,http://cjdx.zyfqh.top:9988/udp/239.45.3.209:5140
直播上海白渡橋-HD,rtmp://live-ws.kksmg.com/live/webcam2
直播上海北外灘-HD,rtmp://live-ws.kksmg.com/live/webcam1
直播上海陸家嘴-HD,rtmp://live-ws.kksmg.com/live/sdi5
直播上海魔都眼-HD,rtmp://live-ws.kksmg.com/live/sdi6
直播上海中外灘-HD,rtmp://live-ws.kksmg.com/live/sdi4



综合,#genre#
乐游,http://cjdx.zyfqh.top:9988/udp/239.45.3.135:5140
生活时尚,http://cjdx.zyfqh.top:9988/udp/239.45.3.132:5140
养生频道,http://cjdx.zyfqh.top:9988/udp/239.45.1.28:5140
茶频道,http://cjdx.zyfqh.top:9988/udp/239.45.3.18:5140
动漫秀场,http://cjdx.zyfqh.top:9988/udp/239.45.3.134:5140
防疫宣传,http://cjdx.zyfqh.top:9988/udp/239.45.3.235:5140
哈哈炫动,http://cjdx.zyfqh.top:9988/udp/239.45.1.55:5140
欢笑剧场,http://cjdx.zyfqh.top:9988/udp/239.45.3.196:5140
纪实科教,http://cjdx.zyfqh.top:9988/udp/239.45.1.14:5140
金色学堂,http://cjdx.zyfqh.top:9988/udp/239.45.0.9:5140
金鹰纪实,http://cjdx.zyfqh.top:9988/udp/239.45.1.45:5140
金鹰卡通,http://cjdx.zyfqh.top:9988/udp/239.45.0.38:5140
金鹰卡通,http://cjdx.zyfqh.top:9988/udp/239.45.3.233:5140
卡酷少儿,http://cjdx.zyfqh.top:9988/udp/239.45.0.8:5140
快乐垂钓,http://cjdx.zyfqh.top:9988/udp/239.45.3.12:5140
游戏风云,http://cjdx.zyfqh.top:9988/udp/239.45.3.131:5140
央广购物,http://cjdx.zyfqh.top:9988/udp/239.45.0.35:5140

BesTV,#genre#
BesTV,http://cjdx.zyfqh.top:9988/udp/239.45.1.29:5140
BesTV百视通,http://cjdx.zyfqh.top:9988/udp/239.45.1.15:5140
BesTV百视通,http://cjdx.zyfqh.top:9988/udp/239.45.3.157:5140
BesTV百视通,http://cjdx.zyfqh.top:9988/udp/239.45.3.240:5140
BesTV体育,http://cjdx.zyfqh.top:9988/udp/239.45.3.139:5140
BesTV体育,http://cjdx.zyfqh.top:9988/udp/239.45.3.140:5140
BesTV直播1,http://cjdx.zyfqh.top:9988/udp/239.45.3.53:5140
BesTV直播10,http://cjdx.zyfqh.top:9988/udp/233.18.204.160:5140
BesTV直播2,http://cjdx.zyfqh.top:9988/udp/239.45.3.54:5140
BesTV直播3,http://cjdx.zyfqh.top:9988/udp/239.45.3.55:5140
BesTV直播4,http://cjdx.zyfqh.top:9988/udp/239.45.3.137:5140
BesTV直播5,http://cjdx.zyfqh.top:9988/udp/239.45.3.138:5140
BesTV直播8,http://cjdx.zyfqh.top:9988/udp/239.45.3.215:5140
BesTV直播9,http://cjdx.zyfqh.top:9988/udp/239.45.3.216:5140
